 Seniorenheim;Stadt;Vorwahl
Mayen AWO;Mayen;02651
St. Barbara Weinheim;Weinheim Bergstr;06201
Mainz Jockel Fuchs AWO;Mainz;06131
Darmstadt Kranichstein Stift;Darmstadt;06151
Hemsbach Schneider;Weinheim Bergstr;06201
Avendi Service Wohnen Waldsee;Neuhofen Pfalz;06236
Krefeld Bellini;Krefeld;02151
Mainz Rosengarten;Mainz;06131
Bodelschwingh Weinheim;Weinheim Bergstr;06201
Viernheimer Forum;Viernheim;06204
Bensheim INCURA;Bensheim;06251
avendi Service Wohnen Mannheim;Mannheim;0621
KA Friedensheim;Karlsruhe;0721
Mainz Ursel Distelhut;Mainz;06131
Diez Oranienstein;Diez;06432
Geldern Bellini;Geldern;02831
Neuwied Bellini;Neuwied;02631
Neuwied Alte Glaserei;Neuwied;02631
Kehl Kinzigallee;Kehl;07851
Dudenhofen Incura;Speyer;06232
Dettenheim Incura;Linkenheim-Hochstetten;07247
Heidelberg Philippus;Heidelberg;06221
Edi Wohnpark;Ladenburg;06203
Mannheim Lanzcaree;Mannheim;0621
HD St Anna;Heidelberg;06221
Neu-Isenburg An den Platanen rechts;Neu-Isenburg;06102
Avendi Wiesloch;Wiesloch;06222
beeconnected GmbH;Weinheim Bergstr;06201
Wilhelmsfeld Erlbr. Höhe;Wilhelmsfeld;06220
Malsch;Malsch Kr Karlsruhe;07246
Rastede Avendi;Rastede;04402
Neuwied Haus der Generationen;Neuwied;02631
Dorsten BELLINI;Dorsten;02362
Dieburg Haus Priska;Dieburg;06071
Edi Neckarhausen;Ladenburg;06203
Höhr-Grenzhausen AWO;Höhr-Grenzhausen;02624
Mission Leben im Alter Seeheim;Bad Soden am Taunus;06196
Gedern Haus Vogelsberg;Gedern;06045
KIB Wolfsstift;Karlsruhe;0721
Mainz Mission Leben;Mainz;06131
Betreutes Wohnen Weinheim;Weinheim Bergstr;06201
AWO Worms;Worms;06241
Steinbach;Oberursel Taunus;06171
Alzey Haus Tabea;Alzey;06731
Cuxhaven;Cuxhaven;04721
Bad Dürkheim An den 3 Mühlen;Bad Dürkheim;06322
Bendorf AWO;Bendorf Rhein;02622
Neu-Isenburg An den Platanen links;Neu-Isenburg;06102
Mission Leben im Alter Haus Jona;Bad Soden am Taunus;06196
Diez AWO;Diez;06432
Kehl Dr. Friedrich-Geroldt-Haus;Kehl;07851
AWO Rheinland e.V.Seniorenzentrum Bad Kreuznach;Bad Kreuznach;0671
GRN Schwetzingen;Schwetzingen;06202
Idar-Oberstein AWO;Idar-Oberstein;06781
Mannheim Waldhof;Mannheim;0621
Wiesbaden;Wiesbaden;0611
KA Karlsruher Weg;Karlsruhe;0721
MA Centro Verde;Mannheim;0621
Mainz Bruder Konrad;Mainz;06131
Pfungstadt Misson Leben;Pfungstadt;06157
Darmstadt Kranichstein Plege;Darmstadt;06151
Lindefels Parkhöhe;Lindenfels;06255
AWO Trier;Trier;0651
Koblenz AWO;Koblenz am Rhein;0261
RBH Haus;Neu-isenburg;06102
Schriesheim Stammberg;Ladenburg;06203
PMH Haus;Mannheim;0621
MA Sandhofer Stich;Mannheim;0621
Neu-Isenburg Königsheide;Neu-Isenburg;06102
Ketsch Avendi;Schwetzingen;06202
