primary_key;phone_area_code;city;active
1;201;Essen;false
2;202;Wuppertal;false
3;203;Duisburg;false
4;2041;Bottrop;false
5;2043;Gladbeck;false
6;2045;Bottrop-Kirchhellen;false
7;2051;Velbert;false
8;2052;Velbert-Langenberg;false
9;2053;Velbert-Neviges;false
10;2054;Essen-Kettwig;false
11;2056;Heiligenhaus;false
12;2058;Wülfrath;false
13;2064;Dinslaken;false
14;2065;Duisburg-Rheinhausen;false
15;2066;Duisburg-Homberg;false
16;208;Oberhausen Rheinl;false
17;209;Gelsenkirchen;false
18;2102;Ratingen;false
19;2103;Hilden;false
20;2104;Mettmann;false
21;211;Düsseldorf;false
22;212;Solingen;false
23;2129;Haan Rheinl;false
24;2131;Neuss;false
25;2132;Meerbusch-Büderich;false
26;2133;Dormagen;false
27;2137;Neuss-Norf;false
28;214;Leverkusen;false
29;2150;Meerbusch-Lank;false
30;2151;Krefeld;false
31;2152;Kempen;false
32;2153;Nettetal-Lobberich;false
33;2154;Willich;false
34;2156;Willich-Anrath;false
35;2157;Nettetal-Kaldenkirchen;false
36;2158;Grefrath b Krefeld;false
37;2159;Meerbusch-Osterath;false
38;2161;Mönchengladbach;false
39;2162;Viersen;false
40;2163;Schwalmtal Niederrhein;false
41;2164;Jüchen-Otzenrath;false
42;2165;Jüchen;false
43;2166;Mönchengladbach-Rheydt;false
44;2171;Leverkusen-Opladen;false
45;2173;Langenfeld Rheinland;false
46;2174;Burscheid Rheinl;false
47;2175;Leichlingen Rheinland;false
48;2181;Grevenbroich;false
49;2182;Grevenbroich-Kapellen;false
50;2183;Rommerskirchen;false
51;2191;Remscheid;false
52;2192;Hückeswagen;false
53;2193;Dabringhausen;false
54;2195;Radevormwald;false
55;2196;Wermelskirchen;false
56;2202;Bergisch Gladbach;false
57;2203;Köln-Porz;false
58;2204;Bensberg;false
59;2205;Rösrath;false
60;2206;Overath;false
61;2207;Kürten-Dürscheid;false
62;2208;Niederkassel;false
63;221;Köln;false
64;2222;Bornheim Rheinl;false
65;2223;Königswinter;false
66;2224;Bad Honnef;false
67;2225;Meckenheim Rheinl;false
68;2226;Rheinbach;false
69;2227;Bornheim-Merten;false
70;2228;Remagen-Rolandseck;false
71;2232;Brühl Rheinl;false
72;2233;Hürth Rheinl;false
73;2234;Frechen;false
74;2235;Erftstadt;false
75;2236;Wesseling Rheinl;false
76;2237;Kerpen Rheinl-Türnich;false
77;2238;Pulheim;false
78;2241;Siegburg;false
79;2242;Hennef Sieg;false
80;2243;Eitorf;false
81;2244;Königswinter-Oberpleis;false
82;2245;Much;false
83;2246;Lohmar Rheinland;false
84;2247;Neunkirchen-Seelscheid;false
85;2248;Hennef-Uckerath;false
86;2251;Euskirchen;false
87;2252;Zülpich;false
88;2253;Bad Münstereifel;false
89;2254;Weilerswist;false
90;2255;Euskirchen-Flamersheim;false
91;2256;Mechernich-Satzvey;false
92;2257;Reckerscheid;false
93;2261;Gummersbach;false
94;2262;Wiehl;false
95;2263;Engelskirchen;false
96;2264;Marienheide;false
97;2265;Reichshof-Eckenhagen;false
98;2266;Lindlar;false
99;2267;Wipperfürth;false
100;2268;Kürten;false
101;2269;Kierspe-Rönsahl;false
102;2271;Bergheim Erft;false
103;2272;Bedburg Erft;false
104;2273;Kerpen-Horrem;false
105;2274;Elsdorf Rheinl;false
106;2275;Kerpen-Buir;false
107;228;Bonn;false
108;2291;Waldbröl;false
109;2292;Windeck Sieg;false
110;2293;Nümbrecht;false
111;2294;Morsbach Sieg;false
112;2295;Ruppichteroth;false
113;2296;Reichshof-Brüchermühle;false
114;2297;Wildbergerhütte;false
115;2301;Holzwickede;false
116;2302;Witten;false
117;2303;Unna;false
118;2304;Schwerte;false
119;2305;Castrop-Rauxel;false
120;2306;Lünen;false
121;2307;Kamen;false
122;2308;Unna-Hemmerde;false
123;2309;Waltrop;false
124;231;Dortmund;false
125;2323;Herne;false
126;2324;Hattingen Ruhr;false
127;2325;Wanne-Eickel;false
128;2327;Bochum-Wattenscheid;false
129;2330;Herdecke;false
130;2331;Hagen Westf;false
131;2332;Gevelsberg;false
132;2333;Ennepetal;false
133;2334;Hagen-Hohenlimburg;false
134;2335;Wetter Ruhr;false
135;2336;Schwelm;false
136;2337;Hagen-Dahl;false
137;2338;Breckerfeld;false
138;2339;Sprockhövel-Haßlinghausen;false
139;234;Bochum;false
140;2351;Lüdenscheid;false
141;2352;Altena Westf;false
142;2353;Halver;false
143;2354;Meinerzhagen;false
144;2355;Schalksmühle;false
145;2357;Herscheid Westf;false
146;2358;Meinerzhagen-Valbert;false
147;2359;Kierspe;false
148;2360;Haltern-Lippramsdorf;false
149;2361;Recklinghausen;false
150;2362;Dorsten;false
151;2363;Datteln;false
152;2364;Haltern Westf;false
153;2365;Marl;false
154;2366;Herten Westf;false
155;2367;Henrichenburg;false
156;2368;Oer-Erkenschwick;false
157;2369;Dorsten-Wulfen;false
158;2371;Iserlohn;false
159;2372;Hemer;false
160;2373;Menden Sauerland;false
161;2374;Iserlohn-Letmathe;false
162;2375;Balve;false
163;2377;Wickede Ruhr;false
164;2378;Fröndenberg-Langschede;false
165;2379;Menden-Asbeck;false
166;2381;Hamm Westf;false
167;2382;Ahlen Westf;false
168;2383;Bönen;false
169;2384;Welver;false
170;2385;Hamm-Rhynern;false
171;2387;Drensteinfurt-Walstedde;false
172;2388;Hamm-Uentrop;false
173;2389;Werne;false
174;2391;Plettenberg;false
175;2392;Werdohl;false
176;2393;Sundern-Allendorf;false
177;2394;Neuenrade-Affeln;false
178;2395;Finnentrop-Rönkhausen;false
179;2401;Baesweiler;false
180;2402;Stolberg Rheinl;false
181;2403;Eschweiler Rheinl;false
182;2404;Alsdorf Rheinl;false
183;2405;Würselen;false
184;2406;Herzogenrath;false
185;2407;Herzogenrath-Kohlscheid;false
186;2408;Aachen-Kornelimünster;false
187;2409;Stolberg-Gressenich;false
188;241;Aachen;false
189;2421;Düren;false
190;2422;Kreuzau;false
191;2423;Langerwehe;false
192;2424;Vettweiss;false
193;2425;Nideggen-Embken;false
194;2426;Nörvenich;false
195;2427;Nideggen;false
196;2428;Niederzier;false
197;2429;Hürtgenwald;false
198;2431;Erkelenz;false
199;2432;Wassenberg;false
200;2433;Hückelhoven;false
201;2434;Wegberg;false
202;2435;Erkelenz-Lövenich;false
203;2436;Wegberg-Rödgen;false
204;2440;Nettersheim-Tondorf;false
205;2441;Kall;false
206;2443;Mechernich;false
207;2444;Schleiden-Gemünd;false
208;2445;Schleiden Eifel;false
209;2446;Heimbach Eifel;false
210;2447;Dahlem b Kall;false
211;2448;Hellenthal-Rescheid;false
212;2449;Blankenheim Ahr;false
213;2451;Geilenkirchen;false
214;2452;Heinsberg Rheinl;false
215;2453;Heinsberg-Randerath;false
216;2454;Gangelt;false
217;2455;Waldfeucht;false
218;2456;Selfkant;false
219;2461;Jülich;false
220;2462;Linnich;false
221;2463;Titz;false
222;2464;Aldenhoven b Jülich;false
223;2465;Inden;false
224;2471;Roetgen Eifel;false
225;2472;Monschau;false
226;2473;Simmerath;false
227;2474;Nideggen-Schmidt;false
228;2482;Hellenthal;false
229;2484;Mechernich-Eiserfey;false
230;2485;Schleiden-Dreiborn;false
231;2486;Nettersheim;false
232;2501;Münster-Hiltrup;false
233;2502;Nottuln;false
234;2504;Telgte;false
235;2505;Altenberge Westf;false
236;2506;Münster-Wolbeck;false
237;2507;Havixbeck;false
238;2508;Drensteinfurt;false
239;2509;Nottuln-Appelhülsen;false
240;251;Münster;false
241;2520;Wadersloh-Diestedde;false
242;2521;Beckum;false
243;2522;Oelde;false
244;2523;Wadersloh;false
245;2524;Ennigerloh;false
246;2525;Beckum-Neubeckum;false
247;2526;Sendenhorst;false
248;2527;Lippetal-Lippborg;false
249;2528;Ennigerloh-Enniger;false
250;2529;Oelde-Stromberg;false
251;2532;Ostbevern;false
252;2533;Münster-Nienberge;false
253;2534;Münster-Roxel;false
254;2535;Sendenhorst-Albersloh;false
255;2536;Münster-Albachten;false
256;2538;Drensteinfurt-Rinkerode;false
257;2541;Coesfeld;false
258;2542;Gescher;false
259;2543;Billerbeck Westf;false
260;2545;Rosendahl-Darfeld;false
261;2546;Coesfeld-Lette;false
262;2547;Rosendahl-Osterwick;false
263;2548;Dülmen-Rorup;false
264;2551;Steinfurt-Burgsteinfurt;false
265;2552;Steinfurt-Borghorst;false
266;2553;Ochtrup;false
267;2554;Laer Kr Steinfurt;false
268;2555;Schöppingen;false
269;2556;Metelen;false
270;2557;Wettringen Kr Steinfurt;false
271;2558;Horstmar;false
272;2561;Ahaus;false
273;2562;Gronau Westfalen;false
274;2563;Stadtlohn;false
275;2564;Vreden;false
276;2565;Gronau-Epe;false
277;2566;Legden;false
278;2567;Ahaus-Alstätte;false
279;2568;Heek;false
280;2571;Greven Westf;false
281;2572;Emsdetten;false
282;2573;Nordwalde;false
283;2574;Saerbeck;false
284;2575;Greven-Reckenfeld;false
285;2581;Warendorf;false
286;2582;Everswinkel;false
287;2583;Sassenberg;false
288;2584;Warendorf-Milte;false
289;2585;Warendorf-Hoetmar;false
290;2586;Beelen;false
291;2587;Ennigerloh-Westkirchen;false
292;2588;Harsewinkel-Greffen;false
293;2590;Dülmen-Buldern;false
294;2591;Lüdinghausen;false
295;2592;Selm;false
296;2593;Ascheberg Westf;false
297;2594;Dülmen;false
298;2595;Olfen;false
299;2596;Nordkirchen;false
300;2597;Senden Westf;false
301;2598;Senden-Ottmarsbocholt;false
302;2599;Ascheberg-Herbern;false
